open_ts_int,open_ts_str,open,high,low,close,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume
1670752800000,2022-12-11 10:00:00,1271.99,1273.7,1271.08,1272.79,4741.5348,1266.35,1269.18,1265.4,5177.3985,1268.35,1271.43,1267.88,5628.0909,1271.23,1271.84,1269.92,3106.4563,1270.0,1273.37,1269.11,6671.6103,1272.67,1274.15,1272.36,3765.0285,1273.48,1278.13,1272.79,8829.9661,1275.68,1278.08,1273.8,4680.2145,1273.81,1277.16,1273.23,6797.4141,1276.49,1277.17,1272.77,4691.1765,1274.15,1274.24,1270.82,3949.8844
1670749200000,2022-12-11 09:00:00,1274.15,1274.24,1270.82,1271.99,3949.8844,1269.13,1270.88,1261.95,12409.3249,1266.35,1269.18,1265.4,5177.3985,1268.35,1271.43,1267.88,5628.0909,1271.23,1271.84,1269.92,3106.4563,1270.0,1273.37,1269.11,6671.6103,1272.67,1274.15,1272.36,3765.0285,1273.48,1278.13,1272.79,8829.9661,1275.68,1278.08,1273.8,4680.2145,1273.81,1277.16,1273.23,6797.4141,1276.49,1277.17,1272.77,4691.1765
1670745600000,2022-12-11 08:00:00,1276.49,1277.17,1272.77,1274.16,4691.1765,1267.94,1270.51,1267.2,4318.1545,1269.13,1270.88,1261.95,12409.3249,1266.35,1269.18,1265.4,5177.3985,1268.35,1271.43,1267.88,5628.0909,1271.23,1271.84,1269.92,3106.4563,1270.0,1273.37,1269.11,6671.6103,1272.67,1274.15,1272.36,3765.0285,1273.48,1278.13,1272.79,8829.9661,1275.68,1278.08,1273.8,4680.2145,1273.81,1277.16,1273.23,6797.4141
1670742000000,2022-12-11 07:00:00,1273.81,1277.16,1273.23,1276.49,6797.4141,1273.15,1273.47,1267.94,4421.8119,1267.94,1270.51,1267.2,4318.1545,1269.13,1270.88,1261.95,12409.3249,1266.35,1269.18,1265.4,5177.3985,1268.35,1271.43,1267.88,5628.0909,1271.23,1271.84,1269.92,3106.4563,1270.0,1273.37,1269.11,6671.6103,1272.67,1274.15,1272.36,3765.0285,1273.48,1278.13,1272.79,8829.9661,1275.68,1278.08,1273.8,4680.2145
1670738400000,2022-12-11 06:00:00,1275.68,1278.08,1273.8,1273.8,4680.2145,1272.21,1273.68,1270.68,4700.9514,1273.15,1273.47,1267.94,4421.8119,1267.94,1270.51,1267.2,4318.1545,1269.13,1270.88,1261.95,12409.3249,1266.35,1269.18,1265.4,5177.3985,1268.35,1271.43,1267.88,5628.0909,1271.23,1271.84,1269.92,3106.4563,1270.0,1273.37,1269.11,6671.6103,1272.67,1274.15,1272.36,3765.0285,1273.48,1278.13,1272.79,8829.9661
1670734800000,2022-12-11 05:00:00,1273.48,1278.13,1272.79,1275.68,8829.9661,1272.26,1274.17,1270.46,6560.5719,1272.21,1273.68,1270.68,4700.9514,1273.15,1273.47,1267.94,4421.8119,1267.94,1270.51,1267.2,4318.1545,1269.13,1270.88,1261.95,12409.3249,1266.35,1269.18,1265.4,5177.3985,1268.35,1271.43,1267.88,5628.0909,1271.23,1271.84,1269.92,3106.4563,1270.0,1273.37,1269.11,6671.6103,1272.67,1274.15,1272.36,3765.0285
1670731200000,2022-12-11 04:00:00,1272.67,1274.15,1272.36,1273.47,3765.0285,1267.49,1272.79,1267.49,10535.0047,1272.26,1274.17,1270.46,6560.5719,1272.21,1273.68,1270.68,4700.9514,1273.15,1273.47,1267.94,4421.8119,1267.94,1270.51,1267.2,4318.1545,1269.13,1270.88,1261.95,12409.3249,1266.35,1269.18,1265.4,5177.3985,1268.35,1271.43,1267.88,5628.0909,1271.23,1271.84,1269.92,3106.4563,1270.0,1273.37,1269.11,6671.6103
1670727600000,2022-12-11 03:00:00,1270.0,1273.37,1269.11,1272.68,6671.6103,1274.21,1275.77,1266.48,8878.5757,1267.49,1272.79,1267.49,10535.0047,1272.26,1274.17,1270.46,6560.5719,1272.21,1273.68,1270.68,4700.9514,1273.15,1273.47,1267.94,4421.8119,1267.94,1270.51,1267.2,4318.1545,1269.13,1270.88,1261.95,12409.3249,1266.35,1269.18,1265.4,5177.3985,1268.35,1271.43,1267.88,5628.0909,1271.23,1271.84,1269.92,3106.4563
1670724000000,2022-12-11 02:00:00,1271.23,1271.84,1269.92,1269.99,3106.4563,1278.26,1283.61,1273.31,13827.7615,1274.21,1275.77,1266.48,8878.5757,1267.49,1272.79,1267.49,10535.0047,1272.26,1274.17,1270.46,6560.5719,1272.21,1273.68,1270.68,4700.9514,1273.15,1273.47,1267.94,4421.8119,1267.94,1270.51,1267.2,4318.1545,1269.13,1270.88,1261.95,12409.3249,1266.35,1269.18,1265.4,5177.3985,1268.35,1271.43,1267.88,5628.0909
1670720400000,2022-12-11 01:00:00,1268.35,1271.43,1267.88,1271.24,5628.0909,1271.7,1279.26,1271.1,17404.2918,1278.26,1283.61,1273.31,13827.7615,1274.21,1275.77,1266.48,8878.5757,1267.49,1272.79,1267.49,10535.0047,1272.26,1274.17,1270.46,6560.5719,1272.21,1273.68,1270.68,4700.9514,1273.15,1273.47,1267.94,4421.8119,1267.94,1270.51,1267.2,4318.1545,1269.13,1270.88,1261.95,12409.3249,1266.35,1269.18,1265.4,5177.3985
